Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,,,,,,,,,280.3811496448,300.6293460241,318.9812188154,359.6445577745,424.6223899663,522.9483741741,964.9987197807,1046.419460789,1251.1324257807,1406.4024585033,1504.8638253152,1942.3954349932,2495.5360847072,2492.9017304533,2250.9867635783,2059.9124867156,2023.3133458132,1940.5711092923,1774.6385559462,1841.810529591,1728.9671635421,1779.695938004,1933.9438317236,1852.9091175361,1951.1212777462,1926.1041076992,1922.6677863911,2005.1235390136,2168.6332932275,2258.2966039548,2151.3522252909,2300.6321986168,2596.0071875169,2474.14910161,2455.0514212142,2705.4065699099,3084.659177463,3663.3309639478,4261.580853026,4820.6927471205,5957.135512922,5018.5819246177,5706.2546680418,6794.4848467477,
Caribbean small states,CSS,445.355812476,472.9722612339,489.9212057851,512.7206496432,542.2903335738,573.6918325808,611.6157369162,646.6672523262,633.0675848253,679.8755395507,740.4372270637,797.0127292298,912.565836981,993.3900832932,1273.5758925367,1477.0534270225,1505.6580317827,1725.6676468906,1748.5498212488,1987.1862189391,2419.926816186,2613.6769060103,2868.3919324457,2901.1627113016,2721.380857258,2654.9541915,2388.533343025,2549.1951680402,2687.8576449987,2729.9015509392,2899.8583861946,2857.5515488338,2782.3242728783,2867.0622630833,3018.4730585451,3293.5352622952,3555.7731562305,3960.6078941074,4295.8993364393,4536.3982341791,4912.1270023054,5009.2073406664,5232.7161467858,5594.9233840552,6044.0127882996,6846.135068603,7629.8824960143,8448.3673449129,9569.2281322774,8085.1950272498,8609.9939952362,8933.0731174681,
East Asia & Pacific (all income levels),EAS,149.0425948896,147.5950771943,148.135798253,161.3322321587,180.7219331717,197.0675056345,214.7095573341,227.1910062954,244.4785815531,274.3321906515,312.9861946641,338.3609698754,409.8472195364,528.5937506805,596.219142968,640.4542251539,692.7196114924,812.9535565513,1009.8871545469,1080.6816380628,1152.252066891,1254.2508602361,1207.1261208344,1259.6250089153,1330.2374868349,1388.5650495549,1780.2751767303,2046.8523956429,2424.1758839339,2497.8506209582,2575.0988055181,2859.2033656299,3079.8705664928,3407.4734720945,3754.5045570516,4187.2111956702,3979.3675414593,3782.8274884049,3341.790875106,3685.1944649462,3948.3595407113,3638.7434591327,3664.7829896148,3996.0631140875,4445.7696804631,4694.3367119117,4941.8338040232,5492.3952464131,6292.2879577186,6427.3741979045,7409.5075297078,8484.9744428117,
East Asia & Pacific (developing only),EAP,92.774897472,79.8178123807,71.322768233,75.3301651837,84.5675050687,96.915311264,103.1796256848,97.5165151519,95.954883521,104.8790683119,113.762806649,118.8437169687,131.4416343549,161.9743013118,179.2754716347,197.5936138347,197.4407768044,224.7907021821,215.0046398309,245.4844482438,280.0526383274,295.1605318869,302.5327400964,311.6149659223,331.7757788148,357.0478166196,348.6727331516,338.1589460949,371.535438267,395.8017911436,418.1103076529,448.8518348283,495.0472363139,526.9623052747,627.1893753914,765.4661942964,868.6877744947,889.7577897552,804.0442258624,873.885494701,952.2431664948,1004.3574746271,1100.5765929606,1232.9194547583,1418.0332703652,1626.5403336088,1940.9508257453,2433.6093241175,3054.9746433787,3273.4219348296,3898.8464923082,4717.3260551265,
Euro area,EMU,940.8689716693,1026.4216553203,1128.6667203799,1254.4605757611,1382.6439339066,1495.3303690077,1617.1834826175,1744.3221069462,1857.6466774369,2038.5289359461,2210.6003203247,2491.9431151682,2992.2074633869,3863.7548881573,4348.5425658785,5023.4965817737,5220.3863237259,5916.2731037173,7208.157072895,8689.6774155921,9691.2713559509,8387.8317105974,8097.2272277912,7884.6663635387,7550.6513077726,7742.9761650935,10841.763183366,13371.7910293721,14659.2053900632,14907.2481291137,18665.0869687336,19302.0882645635,21189.0900818646,19322.9456773092,20375.4195294483,23467.1427299522,23663.9133832911,21546.6556190789,22063.4254111448,21886.7453067801,19850.504466444,20049.9453803226,21697.6430512723,26622.8556453947,30307.6994179417,31270.4608503095,32984.40944837,37711.8724630063,41074.9070563964,37450.4618617674,36373.2551622499,39287.018772584,
Europe & Central Asia (all income levels),ECS,661.8882043899,696.4578301189,752.5097898972,820.1331236679,897.8991940598,966.4519842677,1040.0872400747,1108.9656064721,1146.7099134565,1248.6574065271,1350.361238939,1510.3919682409,1795.6760606369,2263.5382250953,2537.3207492105,2952.3064965714,3049.4362909969,3433.6353220238,4156.3217133015,5043.3402308942,5668.8741510625,5009.749909384,4800.7575217287,4627.8178575032,4420.7241551417,4546.1566446185,6131.2095122759,7479.6892410028,8262.1050807033,8401.2019110068,10168.447351813,10423.6208789792,11126.0413558017,10193.8626279759,10651.8688494613,12170.3532496063,12388.8479961345,11732.3648121312,12005.6001327825,11859.4507197845,11126.4452201131,11227.3778833128,12265.1696766276,14921.188639962,17344.5078520905,18415.1951213681,19867.6152046099,23147.1729022637,25311.5894027545,22141.5072628896,22479.2219259288,24740.8657973838,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301.9474367186,2429.4463690803,2324.1352259134,2142.8099728636,2095.4544379898,1819.6018143909,1936.321200604,1948.5384227653,2031.8790737913,1896.3083159264,1603.0078800263,1781.4122645225,1776.7734096978,2031.9314623209,2563.355462371,3379.3893938563,4264.7707821871,5225.6246993927,6741.5255056071,8307.8960843107,6476.4378483931,7555.1423614236,8905.897843158,
European Union,EUU,901.7937254862,973.4890015598,1054.1242203345,1150.9741203431,1264.4412027918,1365.6096256268,1468.9907483037,1566.9689941526,1617.6712146541,1765.4673246733,1924.2200846033,2164.0301824273,2576.4659452943,3253.8753718425,3635.7499447564,4230.6660844235,4364.2628218893,4922.3580422496,5997.0170810174,7282.2655012395,8271.6427382004,7286.6240885591,6997.4976452331,6762.7973435564,6477.5551973782,6676.0256672231,9072.9789169131,11113.8951282712,12335.8111012337,12560.6787059702,15429.9287154173,15947.535102773,17320.5943812138,15748.9134303782,16714.3139883182,19173.487153787,19535.3065810019,18395.8486561874,19008.7305852851,18966.5911270919,17541.9253608448,17716.2902856867,19261.8675010467,23388.7729981412,26878.2808009764,27975.685846724,29699.3624653366,34187.7978245084,36596.8823132332,32590.4585204008,32202.1331940776,34923.0407355325,
Heavily indebted poor countries (HIPC),HPC,108.2251663216,108.4628870292,115.41152443,136.4188205149,118.4844303349,135.1735998824,143.8056018851,137.2005279093,139.8773496342,152.0243221447,155.0836690295,162.7902186793,171.9516049326,202.9346371279,240.2262854182,265.6435979113,275.4304930596,314.7952696382,356.5028173345,383.5550914788,394.9490852216,382.1788329173,372.2238185076,342.9042354334,333.3679345617,338.589533461,377.5398209662,405.234105507,391.5222063073,366.6517414102,362.6388989887,360.8629997241,321.2234213895,314.0751407251,274.5539792824,304.8038296637,311.1476664113,317.2799757082,318.6524846201,307.8312174375,292.0742925645,288.9569334089,303.9701982566,338.511758947,379.9339592618,419.962797144,487.3785603571,564.8724293759,661.7068942696,638.8476459228,689.1442649787,751.7035545943,
High income,HIC,1392.3776920718,1451.3907767154,1547.5796080607,1646.2565025886,1776.5554737765,1907.0321615607,2069.6180673806,2198.4572253869,2359.3276790691,2558.8154883597,2754.2515355628,3026.1684172505,3483.9227947561,4182.4000626656,4677.61197615,5191.2470345955,5615.8752523361,6310.2008172885,7494.9379997655,8584.1802276641,9504.3813894981,9565.1478881908,9404.5494833379,9641.5467395897,9993.6872009074,10424.2201930407,12571.194965524,14435.9324238771,16136.9296656369,16770.9709534022,18674.63370056,19567.8249797742,20890.3828072486,20918.7985226324,22268.0414354212,24393.1777514897,24398.254397962,23868.0356235074,23789.8235737884,24859.9080754528,25195.2347337839,24796.9635455201,25690.6575356094,28612.6415269732,31568.6050879892,33073.8573982003,34624.8400760476,37583.1345269243,39602.2472029887,36827.5318536529,38261.7386991311,41061.8529732615,
