Country,Population,CO2,GDP
Canada,24593000,457,10934
Sao Tome and Principe,94688,0,0
Turkmenistan,2861000,0,0
Lithuania,3413202,0,0
Cambodia,6505693,0,0
Ethiopia,35426282,2,0
Aruba,60099,0,0
Sri Lanka,14747000,5,273
Swaziland,603385,1,898
Argentina,28131040,93,2736
Bolivia,5352649,4,848
Cameroon,9109727,2,740
Burkina Faso,7212088,0,267
Ghana,10922708,2,407
Saudi Arabia,9801475,177,16764
Japan,116782000,947,9308
American Samoa,32526,0,0
Slovenia,1901315,0,0
Guatemala,7036484,4,1120
Bosnia and Herzegovina,3913536,0,0
Kuwait,1376963,31,20799
World,4446509520,18434,2479
Spain,37439035,195,6037
Liberia,1922536,2,445
Netherlands,14149800,201,12775
Jamaica,2133000,8,1256
Oman,1181337,4,5064
Tanzania,18685789,2,0
Greenland,50200,0,9483
Gabon,682641,5,6269
New Zealand,3112900,20,7347
Pakistan,80492664,34,294
Albania,2671300,9,0
Samoa,155016,0,0
United Arab Emirates,1016228,30,42903
Guam,106572,4,0
Kazakhstan,14898332,0,0
India,700058589,291,271
Azerbaijan,6166000,0,0
Lesotho,1309981,0,329
Kenya,16267558,6,447
Tajikistan,3952691,0,0
Turkey,44105216,69,1560
Afghanistan,15303190,1,238
Czech Republic,10304193,0,0
Mauritania,1517817,1,467
Solomon Islands,229235,0,736
Turks and Caicos Islands,7525,0,0
Cyprus,685510,3,4232
Mongolia,1693122,7,0
France,55166046,489,12514
Rwanda,5178927,0,242
Somalia,6435589,1,94
Peru,17286832,22,1195
Vanuatu,115641,0,981
Seychelles,64400,0,2288
Norway,4085620,34,15595
Malawi,6239898,1,198
Benin,3610578,0,389
Singapore,2414000,29,4913
Montenegro,576069,0,0
Togo,2666921,1,426
China,981235000,1448,193
Armenia,3096298,0,0
Dominican Republic,5794074,5,1144
Germany,78288576,0,11746
Ukraine,50043550,0,0
Bahrain,357957,8,8584
Tonga,92999,0,573
Finland,4779535,55,11091
Libya,3063000,32,0
Indonesia,150820044,86,517
Central African Republic,2273630,0,351
North America,251872000,5475,12058
Sweden,8310531,82,15891
Vietnam,53700000,13,0
Mali,7245598,0,247
Bulgaria,8861535,89,2261
United States,227225000,4777,12180
Romania,22242653,171,0
Angola,7638420,3,0
Portugal,9766312,24,3323
South Africa,27576000,235,2921
Fiji,635297,1,1893
Qatar,221594,14,35331
Malaysia,13832586,26,1803
Austria,7549433,56,10758
Mozambique,12145501,3,290
Uganda,12662131,1,98
Hungary,10711122,84,2069
Niger,5871030,1,427
Brazil,121711864,186,1931
Guinea,4406831,1,0
Panama,1953029,5,1951
Costa Rica,2343345,2,2062
Luxembourg,364150,12,16389
Cape Verde,300047,0,474
Ireland,3412800,21,6179
Nigeria,75543388,69,850
Ecuador,7957811,13,1495
Bangladesh,80624423,8,225
Australia,14692000,199,10199
Algeria,18811199,67,2251
El Salvador,4656263,2,768
Chile,11178817,24,2466
Puerto Rico,3206000,29,4503
Belgium,9859242,136,12707
Thailand,47482643,34,681
Haiti,5687812,1,0
Belize,146000,0,1334
Sierra Leone,3161751,1,348
Georgia,4467700,0,0
Denmark,5123027,65,13607
Poland,35574150,429,0
Moldova,3397000,0,0
Morocco,19566920,16,955
Croatia,4588000,0,0
French Polynesia,151098,0,9015
Guinea-Bissau,834611,0,133
Kiribati,58100,0,481
Switzerland,6319408,47,17807
Grenada,88936,0,940
Iraq,13774183,52,3453
Chad,4554089,0,227
Estonia,1477219,0,0
Uruguay,2914683,6,3487
Mexico,68776411,240,2826
Lebanon,2794638,6,0
Uzbekistan,15951899,0,0
Djibouti,340133,1,0
Bermuda,54000,1,11357
Antigua and Barbuda,70228,0,1567
Dominica,75312,0,785
Colombia,26874906,40,1243
Burundi,4129997,0,223
Nicaragua,3242190,2,661
Barbados,248796,1,3458
Madagascar,8608964,1,470
Italy,56433883,372,8148
Bhutan,430633,0,315
Sudan,15097157,3,380
Nepal,15045329,0,129
Malta,316645,1,3948
Maldives,156626,0,271
Suriname,365749,2,2173
Cayman Islands,16861,0,0
Israel,3878000,24,5617
Iceland,228138,2,14602
Zambia,5775165,4,673
Senegal,5414070,2,647
Papua New Guinea,3215339,2,792
Zimbabwe,7289463,9,916
Jordan,2181000,5,1816
Mauritius,966000,1,1177
Philippines,47063923,34,689
Eritrea,2468902,0,0
New Caledonia,143000,2,8269
Trinidad and Tobago,1078200,11,5784
Latvia,2511701,0,0
Guyana,776856,1,776
Belarus,9643000,0,0
Honduras,3627640,2,707
Equatorial Guinea,220582,0,0
Tunisia,6384000,8,1370
Cuba,9812223,30,2029
Serbia,0,0,0
Botswana,996211,1,1065
United Kingdom,56314216,614,9623
Greece,9642505,52,5620
Paraguay,3194768,1,1433
Namibia,1012824,0,2141
Comoros,328861,0,376
